Index,teamA,TeamName_x,scoreA,teamB,TeamName_y,scoreB,winner,location,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,tempo_diff,oe_de_diff,de_oe_diff
11,1154,The Citadel,69,1119,Army,84,B,N,-3.31,-4.48,-1.6,-5.68,-0.06,-0.45,-2.2,1.55,-1.44,-0.34,-2.03,-1.33,0.39,-2.7133,-12.6292,14.2693
12,1159,Colgate,66,1119,Army,74,B,B,-0.7,-5.96,0.84,-1.43,-2.67,-4.27,-4.3,1.47,-0.2,-1.47,-1.36,-2,-1.13,-5.5055,-2.2447,5.1238
13,1131,Boston University,91,1119,Army,70,A,A,-0.28,-1.44,0.44,-0.21,-0.94,-1.84,-1.62,1.79,-0.19,-1.12,1.16,-2.41,-1.33,-2.2442,-5.0206,-2.6736
14,1174,Delaware,89,1119,Army,74,A,B,1.04,2.35,-0.35,-1.51,5.27,7.16,-0.15,3.35,-3.22,-3.41,0.07,-0.64,0.55,2.5955,0.8355,1.0423
15,1162,Columbia,81,1119,Army,64,A,A,-4.57,-9.7,0.07,-2.13,3.63,3,-3.14,2.5,-2.43,-0.8,-0.9,-1.46,0.7,-6.3273,-4.7148,-2.357
16,1323,Notre Dame,93,1119,Army,60,A,A,0.32,-0.47,-0.4,-2.39,-0.79,-1.62,-0.52,1.03,1.03,-2.66,-0.09,-1.2,-2.11,-4.1324,2.0668,1.6422
17,1102,Air Force,82,1238,Jackson St.,84,B,A,-0.87,-3.24,3.24,8.39,-2.77,-2.94,-3.13,-0.53,3.84,-1.48,-0.65,-0.27,-3.95,-2.6701,-7.9312,11.8527
18,1160,Colorado,94,1238,Jackson St.,70,A,A,0.56,-1.27,1.31,2.94,2.59,3.84,-0.25,2.55,1.98,-1.73,0.09,0.15,-6.25,-0.6221,-0.1262,2.4878
19,1380,Southern,60,1238,Jackson St.,36,A,A,1.47,0.42,1.96,3.65,-2.51,-0.4,-0.56,3.06,2.73,-0.94,-0.39,1.74,-0.81,-0.1983,-9.5224,5.69
20,1380,Southern,68,1238,Jackson St.,63,A,B,1.47,0.42,1.96,3.65,-2.51,-0.4,-0.56,3.06,2.73,-0.94,-0.39,1.74,-0.81,-0.1983,-9.5224,5.69
21,1341,Prairie View A&M,85,1238,Jackson St.,80,A,B,0.58,2.15,2.62,5.92,-1.06,1.02,0.01,-1.09,0.93,-0.55,1.15,-0.62,-0.93,0.3814,-9.6647,16.6533
22,1341,Prairie View A&M,53,1238,Jackson St.,50,A,A,0.58,2.15,2.62,5.92,-1.06,1.02,0.01,-1.09,0.93,-0.55,1.15,-0.62,-0.93,0.3814,-9.6647,16.6533
23,1290,Mississippi Valley St.,69,1238,Jackson St.,66,A,A,1.09,4.91,2.41,6.99,-1.58,-0.53,0.06,-0.56,1.07,-0.04,1.4,-1.37,-0.15,5.3485,-12.1031,20.761
24,1290,Mississippi Valley St.,64,1238,Jackson St.,82,B,B,1.09,4.91,2.41,6.99,-1.58,-0.53,0.06,-0.56,1.07,-0.04,1.4,-1.37,-0.15,5.3485,-12.1031,20.761
25,1408,Tulane,70,1238,Jackson St.,65,A,A,-2.6,-5.87,2.07,3.59,1.07,2.53,-1.78,-0.17,-0.52,-2.25,-1.35,-0.32,-3.71,-4.2531,-6.2646,16.3225
26,1404,Tennessee Martin,64,1238,Jackson St.,68,B,A,2.51,5.42,3.38,7.51,-0.78,-0.98,-0.39,-3.46,3.97,-3.49,1.54,-0.68,-1.94,2.664,-2.9379,24.7498
27,1105,Alabama A&M,72,1238,Jackson St.,59,A,A,-1.4,-1.95,2.21,5.57,-1.42,-0.12,-2.02,0.43,2.99,-1.69,0.1,0.84,-0.88,-1.5721,-13.435,10.3895
28,1106,Alabama St.,68,1238,Jackson St.,70,B,B,1.2,3.15,1.42,5.5,0.23,1.63,1.16,-1.18,2.52,-2.83,0.74,0.31,-4.41,-0.3979,-7.8286,15.7724
29,1212,Grambling St.,84,1238,Jackson St.,75,A,N,-0.79,-0.73,2.36,5.94,-1.21,-0.19,-0.91,-2.95,0.71,0.21,-0.2,-1.19,-3.77,1.2641,-8.4629,27.7332
30,1461,Wyoming,73,1238,Jackson St.,65,A,A,-1.14,-8.86,1.77,2.61,-0.69,-0.79,-6.74,0.11,2.75,-4.74,-1.44,0.57,-5.61,-7.5433,-1.2422,7.2274
31,1411,Texas Southern,80,1238,Jackson St.,84,B,B,1.9,-0.84,2.41,4.27,3,4.62,-0.56,2.05,4.11,-1.72,-1.35,0.3,-6.28,-0.0504,0.1258,18.3818
32,1411,Texas Southern,73,1238,Jackson St.,75,B,A,1.9,-0.84,2.41,4.27,3,4.62,-0.56,2.05,4.11,-1.72,-1.35,0.3,-6.28,-0.0504,0.1258,18.3818
33,1272,Memphis,75,1238,Jackson St.,61,A,A,5.09,3.97,1.49,2.74,-0.67,1.39,0.84,1.32,7.45,-1.55,2.71,1.54,-4.81,2.7095,4.4029,4.0297
34,1280,Mississippi St.,58,1238,Jackson St.,56,A,A,0.85,-1.24,0.77,1.89,-0.61,1.11,-1.99,-0.33,2.6,-1.03,1.79,-0.56,-5.57,0.6067,-6.5623,10.0743
35,1108,Alcorn St.,64,1238,Jackson St.,51,A,A,-1.37,-2.45,0.53,1.39,-1.7,-0.4,-2.23,-2.68,-0.62,-3.33,-0.51,0.48,-3.95,-4.0442,-11.6095,14.8197
36,1115,Arkansas Pine Bluff,70,1238,Jackson St.,69,A,A,-1.6,-2.99,2.31,4.89,-2.06,-0.81,-1.74,-2.98,1.93,0.13,3.54,-1.09,-3.36,-0.2951,-13.8271,12.9067
37,1115,Arkansas Pine Bluff,66,1238,Jackson St.,59,A,B,-1.6,-2.99,2.31,4.89,-2.06,-0.81,-1.74,-2.98,1.93,0.13,3.54,-1.09,-3.36,-0.2951,-13.8271,12.9067
38,1102,Air Force,67,1115,Arkansas Pine Bluff,64,A,A,0.73,-0.25,0.93,3.5,-0.71,-2.13,-1.39,2.45,1.91,-1.61,-4.19,0.82,-0.59,-2.375,-8.5648,13.4067
39,1120,Auburn,91,1115,Arkansas Pine Bluff,59,A,A,2.76,3.13,-0.48,0.26,3.53,2.95,0.9,2.66,0.15,-2.97,-3.38,2.33,2.02,0.0966,2.2929,14.5177
40,1380,Southern,60,1115,Arkansas Pine Bluff,56,A,B,3.07,3.41,-0.35,-1.24,-0.45,0.41,1.18,6.04,0.8,-1.07,-3.93,2.83,2.55,0.0968,-10.156,7.244
41,1380,Southern,58,1115,Arkansas Pine Bluff,64,B,A,3.07,3.41,-0.35,-1.24,-0.45,0.41,1.18,6.04,0.8,-1.07,-3.93,2.83,2.55,0.0968,-10.156,7.244
42,1341,Prairie View A&M,71,1115,Arkansas Pine Bluff,62,A,A,2.18,5.14,0.31,1.03,1,1.83,1.75,1.89,-1,-0.68,-2.39,0.47,2.43,0.6765,-10.2983,18.2073
43,1341,Prairie View A&M,61,1115,Arkansas Pine Bluff,76,B,B,2.18,5.14,0.31,1.03,1,1.83,1.75,1.89,-1,-0.68,-2.39,0.47,2.43,0.6765,-10.2983,18.2073
44,1290,Mississippi Valley St.,68,1115,Arkansas Pine Bluff,83,B,B,2.69,7.9,0.1,2.1,0.48,0.28,1.8,2.42,-0.86,-0.17,-2.14,-0.28,3.21,5.6436,-12.7367,22.315
45,1358,Sam Houston St.,75,1115,Arkansas Pine Bluff,49,A,N,2.82,1.22,0.5,-0.5,4.84,6.81,1.67,1.49,3.23,-2.26,-2.9,1.05,2.58,-1.1282,-1.2729,15.7709
46,1105,Alabama A&M,64,1115,Arkansas Pine Bluff,72,B,A,0.2,1.04,-0.1,0.68,0.64,0.69,-0.28,3.41,1.06,-1.82,-3.44,1.93,2.48,-1.277,-14.0686,11.9435
47,1105,Alabama A&M,61,1115,Arkansas Pine Bluff,64,B,B,0.2,1.04,-0.1,0.68,0.64,0.69,-0.28,3.41,1.06,-1.82,-3.44,1.93,2.48,-1.277,-14.0686,11.9435
48,1374,SMU,87,1115,Arkansas Pine Bluff,61,A,A,4.13,0.24,-1.65,-5.96,1.88,1.84,0.53,5.22,3.74,-1.38,-1.98,2.45,-0.07,-1.0262,1.6808,1.2567
49,1212,Grambling St.,52,1115,Arkansas Pine Bluff,61,B,A,0.81,2.26,0.05,1.05,0.85,0.62,0.83,0.03,-1.22,0.08,-3.74,-0.1,-0.41,1.5592,-9.0965,29.2872
50,1329,Oklahoma St.,97,1115,Arkansas Pine Bluff,63,A,A,5.08,4.78,0.94,1.21,6.33,6.71,-0.55,5.29,2.16,-4.65,-1.9,2.65,0.13,1.8565,7.331,3.8147
51,1333,Oregon St.,77,1115,Arkansas Pine Bluff,63,A,A,4.11,0.45,-0.69,-4.18,4.84,5.68,-0.29,4.27,1.91,-1.49,-4.61,2.57,-0.45,0.5875,4.8269,13.5592
52,1102,Air Force,60,1350,Richmond,83,B,A,-0.66,-2.03,0.81,2.04,-1.47,-2.81,-0.5,-0.47,2.81,2.82,-0.56,-1.34,-0.38,0.4845,0.7066,1.9159
53,1125,Belmont,61,1350,Richmond,69,B,B,4.24,-0.01,2.45,2.61,2.02,0.82,-1.05,-1.05,4.73,2.3,0.78,-1.96,1.82,4.8357,14.7521,3.3845
54,1196,Florida,67,1350,Richmond,58,A,A,1.65,-1.09,0.52,-1.05,0.36,0.82,2.47,0.67,2.77,0.68,1.36,-1.45,-3.06,-1.6508,18.3647,-13.6955
55,1203,George Washington,73,1350,Richmond,65,A,B,2.71,1.03,-0.55,-3.98,1.99,3.57,2.6,2.23,3.58,2.42,1.21,-0.14,-1.18,3.5,11.9721,-6.8397
56,1330,Old Dominion,58,1350,Richmond,67,B,B,-0.12,-0.82,-1.18,-3.85,-1.7,-0.79,2.55,0.34,-0.31,2.75,0.27,-0.21,0.43,-0.561,1.963,-2.5514
57,1220,Hofstra,63,1350,Richmond,74,B,B,0,0.33,0.61,1.09,1.33,2.36,3.49,0.19,0.18,1.66,-1.03,-1.09,0.31,0.6299,7.2432,9.5664
58,1433,VCU,56,1350,Richmond,50,A,B,3.51,8.83,1.08,1.59,0.33,0.32,4.94,0.41,2.54,1.62,5.33,-0.04,0.29,5.8469,10.5067,-14.3237
59,1433,VCU,71,1350,Richmond,53,A,N,3.51,8.83,1.08,1.59,0.33,0.32,4.94,0.41,2.54,1.62,5.33,-0.04,0.29,5.8469,10.5067,-14.3237
60,1241,James Madison,53,1350,Richmond,68,B,B,-1.83,-2.79,-1.46,-1.83,1.82,2.13,0.92,0.28,-1.81,1.59,0.02,-1.2,0.31,0.0395,0.7097,2.3998
61,1173,Dayton,64,1350,Richmond,73,B,B,2.94,1.21,0.25,-2.28,0.72,0.67,2.43,0.34,2.48,1.36,-0.03,-1.69,0.79,1.0052,16.0055,-2.2925
62,1247,La Salle,49,1350,Richmond,62,B,B,0.5,2.38,-0.62,-2.12,0.82,-0.06,2.73,0.22,1.84,0.97,-0.27,-0.88,-3.3,0.4479,7.668,-3.4959
63,1269,Massachusetts,55,1350,Richmond,58,B,B,4.52,5.37,-0.89,-4.01,1.4,1.63,2.98,3.05,4.61,2.89,0.96,1.23,0.36,6.9762,10.9918,-6.9009
64,1206,George Mason,69,1350,Richmond,60,A,A,1.66,1.6,-1.39,-5.64,1.01,0.2,1.73,0.28,0.36,2.94,-0.59,-0.82,1.67,2.982,8.6892,0.2413
65,1448,Wake Forest,76,1350,Richmond,66,A,A,1.03,-1.12,-1.3,-4.4,2.39,4.33,0.97,1.12,2.75,1.78,-0.37,-0.3,0,2.6838,8.3774,-1.8631
66,1200,Fordham,70,1350,Richmond,82,B,B,1.92,8.8,0.77,3.52,0.59,-1.12,5.24,-0.62,1.65,0.75,0.83,-0.24,0.6,4.4732,10.3861,7.3504
67,1278,Minnesota,74,1350,Richmond,59,A,B,1.58,0.43,0.73,0.3,0.43,-1.37,1.45,0.39,3.14,1.3,1.46,-0.14,0.01,-0.1813,14.0137,-3.2312
68,1182,Duquesne,58,1350,Richmond,75,B,A,2.3,2.78,0.94,0.33,1.24,1.84,1.56,1.24,4.65,0.39,-0.02,-1.53,-1.27,3.5327,12.6099,4.7049
69,1382,St. Bonaventure,84,1350,Richmond,70,A,A,3.21,3.15,-1.63,-5.28,2.03,1.39,3.46,-0.72,2.84,2.18,1.12,-0.09,0.97,3.5309,13.8024,-0.1234
70,1382,St. Bonaventure,62,1350,Richmond,64,B,B,3.21,3.15,-1.63,-5.28,2.03,1.39,3.46,-0.72,2.84,2.18,1.12,-0.09,0.97,3.5309,13.8024,-0.1234
71,1318,Northeastern,66,1350,Richmond,70,B,A,0.21,-0.97,-1.45,-4.64,0.4,1.44,2.07,0.3,1.01,2.49,-0.44,-0.86,-1.99,0.0576,3.0385,-0.0603
72,1387,Saint Louis,77,1350,Richmond,57,A,A,1.56,0.8,-0.62,-1.83,1.01,0.13,0.73,2.41,3.52,1.97,1.54,-0.07,-1.98,2.6378,7.2362,-12.4655
73,1386,Saint Joseph's,62,1350,Richmond,77,B,B,1.91,-1.27,1.03,-0.31,-0.12,0.76,0.4,2.97,3.48,1.69,-1.37,0.31,-3.45,1.3878,12.9347,-5.5533
74,1102,Air Force,72,1361,San Diego St.,79,B,A,-1.48,-3.57,2.4,7.74,-3.23,-5.62,-4.19,-1.04,4.04,3.69,-2.16,-2.01,2.24,1.5366,7.1684,-2.4099
75,1129,Boise St.,66,1361,San Diego St.,69,B,B,2.29,1.7,2.76,6.62,-0.68,-3.93,-2.09,-0.99,2.28,0.11,-1.89,-2.94,2.82,1.7248,22.4315,-3.4922
76,1166,Creighton,80,1361,San Diego St.,86,B,N,3.93,-0.3,5.62,10.64,-2.31,-5.96,-4.45,2.01,8.38,0.17,-3.36,-3.58,0.99,1.8247,34.7623,-5.4664
77,1415,UC Riverside,41,1361,San Diego St.,77,B,B,-0.24,-0.56,-0.36,0.79,-0.62,-1.94,-2.59,-0.52,1.72,3.51,-1.45,-0.69,2.9,3.4255,7.7149,-0.3389
78,1158,College of Charleston,52,1361,San Diego St.,72,B,N,-1.52,-1.87,1.84,5.13,-4.33,-6.45,-0.8,1.75,0.65,3.07,-2.8,-0.81,2,-1.4165,5.9801,-7.8228
79,1360,San Diego,64,1361,San Diego St.,65,B,A,-1.25,-4.69,1.83,3.3,-1.95,-3.84,-3.73,-1.13,1.52,2.06,-2.02,-1.2,2.18,-0.3677,13.3352,-5.5898
80,1161,Colorado St.,61,1361,San Diego St.,71,B,A,-0.18,0.81,0.43,2.4,2.88,1.9,-0.13,0.3,2.72,-0.54,-2.55,-1.77,1.82,1.6698,18.5598,-0.6179
81,1424,UNLV,64,1361,San Diego St.,73,B,A,1.72,2.34,1.17,3.97,-1.61,-2.08,-0.32,3.34,3.89,1.35,-2.6,1.48,-0.89,2.8798,16.3809,-7.4955
82,1429,Utah St.,69,1361,San Diego St.,74,B,A,0.71,-1.45,2.07,2.68,-3.1,-6.71,-2.51,1.52,6.46,1.13,-4.06,-1.45,1.03,-0.7837,16.8076,-2.7737
83,1429,Utah St.,39,1361,San Diego St.,73,B,N,0.71,-1.45,2.07,2.68,-3.1,-6.71,-2.51,1.52,6.46,1.13,-4.06,-1.45,1.03,-0.7837,16.8076,-2.7737
84,1307,New Mexico,48,1361,San Diego St.,51,B,B,1.54,-0.87,1.11,3.36,2.09,0.74,-2.26,3.62,6.1,0.84,-2.6,0.18,0.29,1.9821,21.8226,-11.5235
85,1449,Washington,63,1361,San Diego St.,70,B,B,2.54,3.08,1.1,3.28,-0.05,-3.15,-1.84,-0.43,3.99,1.64,-2.07,-2.09,2.66,4.9964,19.7471,-3.8047
86,1381,Southern Utah,39,1361,San Diego St.,76,B,B,-3.48,-5.46,-0.24,-0.18,-3.13,-5.23,-4.97,-3.58,1.4,4.12,-3.27,-1.76,6.64,0.9435,-1.9507,5.019
87,1270,McNeese St.,36,1361,San Diego St.,65,B,B,-0.38,4.61,1.88,7.96,-2.66,-4.73,0.17,-1.04,2.55,2.82,-0.48,-1.14,1.18,4.7883,7.3366,3.771
88,1201,Fresno St.,67,1361,San Diego St.,82,B,A,0.48,1,3.07,7.71,-0.68,-2.97,-3.71,-0.16,2.71,-0.32,-1.22,-1.1,2.9,1.8744,19.0396,-1.614
89,1363,San Jose St.,50,1361,San Diego St.,75,B,A,-3.55,-1.25,3.71,11.75,-3.66,-7.01,-2.73,0.72,1.55,3.61,-3.24,-2.28,4.04,1.4468,2.0141,-2.9609
90,1363,San Jose St.,64,1361,San Diego St.,90,B,B,-3.55,-1.25,3.71,11.75,-3.66,-7.01,-2.73,0.72,1.55,3.61,-3.24,-2.28,4.04,1.4468,2.0141,-2.9609
91,1266,Marquette,59,1361,San Diego St.,67,B,N,1.45,0.86,0.07,1.03,0.86,0.32,-1.06,0.73,5.46,2.2,-1.14,-1.84,3.07,2.6177,18.8662,-8.6213
92,1305,Nevada,58,1361,San Diego St.,73,B,B,1.33,1.95,1.95,5.84,-0.58,-2.99,-1.9,-0.12,1.49,0.64,-2.45,-0.47,2.23,1.5295,17.0087,-1.5704
93,1242,Kansas,57,1361,San Diego St.,61,B,A,3.84,-0.06,0.84,2.18,2.72,2.19,-1.11,2.43,5.77,3.41,-1.6,0.7,4.44,5.0806,27.6728,-11.1166
94,1102,Air Force,77,1363,San Jose St.,62,A,A,2.07,-2.32,-1.31,-4.01,0.43,1.39,-1.46,-1.76,2.49,0.08,1.08,0.27,-1.8,0.0898,-6.9598,12.6651
95,1129,Boise St.,76,1363,San Jose St.,55,A,A,5.84,2.95,-0.95,-5.13,2.98,3.08,0.64,-1.71,0.73,-3.5,1.35,-0.66,-1.22,0.278,8.3033,11.5828
96,1454,Milwaukee,64,1363,San Jose St.,61,A,N,2.79,-1.05,-1.33,-4.11,4.84,6.29,-0.38,-1.1,2.34,0.26,1.43,-0.27,-2.39,2.4784,-0.5438,11.9688
97,1413,UC Davis,85,1363,San Jose St.,89,B,B,3.62,0.86,-0.79,-3.75,1.24,2.62,-2,-5.24,0.48,-1.62,0.93,-0.48,-0.93,1.3557,-3.587,23.2439
98,1241,James Madison,79,1363,San Jose St.,66,A,N,0.9,-3.08,-3.58,-7.88,3.72,6.33,-0.04,-1.01,-2.13,-1.15,1.66,0.41,-1.11,-0.3552,-6.9567,13.149
99,1161,Colorado St.,78,1363,San Jose St.,66,A,A,3.37,2.06,-3.28,-9.35,6.54,8.91,2.6,-0.42,1.17,-4.15,0.69,0.51,-2.22,0.223,4.4316,14.4571
100,1365,Santa Clara,89,1363,San Jose St.,77,A,A,3.58,1.86,-1.13,-5.62,2.3,2.79,0.09,-3.27,0.84,-3.15,1.56,1.37,-0.3,0.3466,1.5876,12.8874
101,1429,Utah St.,75,1363,San Jose St.,58,A,B,4.26,-0.2,-1.64,-9.07,0.56,0.3,0.22,0.8,4.91,-2.48,-0.82,0.83,-3.01,-2.2305,2.6794,12.3013
102,1461,Wyoming,67,1363,San Jose St.,56,A,A,1.8,-7.94,-2.78,-9.79,2.51,3.54,-5.07,-1.12,1.4,-3.18,0.29,1.11,-3.46,-4.7834,-0.2708,8.0398
103,1339,Portland,86,1363,San Jose St.,69,A,A,6.13,3.21,-2.29,-10.07,3.79,4.79,0.77,0.44,4.33,-1.57,1.73,1.44,-0.69,2.1041,3.0154,10.6792
104,1296,Northern Illinois,60,1363,San Jose St.,59,A,A,-0.52,-3.49,-4.22,-10.4,4.62,7.75,2.67,-0.94,-2.77,1.46,2.31,0.63,-0.3,-1.6292,-11.7593,3.6518
105,1307,New Mexico,69,1363,San Jose St.,65,A,B,5.09,0.38,-2.6,-8.39,5.75,7.75,0.47,2.9,4.55,-2.77,0.64,2.46,-3.75,0.5353,7.6944,3.5515
106,1307,New Mexico,72,1363,San Jose St.,47,A,A,5.09,0.38,-2.6,-8.39,5.75,7.75,0.47,2.9,4.55,-2.77,0.64,2.46,-3.75,0.5353,7.6944,3.5515
107,1201,Fresno St.,82,1363,San Jose St.,56,A,A,4.03,2.25,-0.64,-4.04,2.98,4.04,-0.98,-0.88,1.16,-3.93,2.02,1.18,-1.14,0.4276,4.9114,13.461
108,1305,Nevada,62,1363,San Jose St.,50,A,B,4.88,3.2,-1.76,-5.91,3.08,4.02,0.83,-0.84,-0.06,-2.97,0.79,1.81,-1.81,0.0827,2.8805,13.5046
109,1451,Weber St.,72,1363,San Jose St.,55,A,A,3.29,-5.03,-1.24,-7.4,5.25,6.68,-1.96,0.52,1.99,-0.99,-0.46,1.17,-2.3,-1.1169,0.5737,13.4935
110,1102,Air Force,55,1461,Wyoming,53,A,B,0.27,5.62,1.47,5.78,-2.08,-2.15,3.61,-0.64,1.09,3.26,0.79,-0.84,1.66,4.8732,-2.8855,0.8218
111,1129,Boise St.,72,1461,Wyoming,63,A,B,4.04,10.89,1.83,4.66,0.47,-0.46,5.71,-0.59,-0.67,-0.32,1.06,-1.77,2.24,5.0614,12.3776,-0.2605
112,1294,Northern Colorado,59,1461,Wyoming,72,B,B,4.44,7.97,0.09,-0.65,-1.23,-1.19,5.56,-2.98,-0.71,0.9,1.19,-1.8,2.08,3.008,7.1766,8.5595
113,1404,Tennessee Martin,60,1461,Wyoming,78,B,B,3.65,14.28,1.61,4.9,-0.09,-0.19,6.35,-3.57,1.22,1.25,2.98,-1.25,3.67,10.2073,2.1078,13.7189
114,1161,Colorado St.,82,1461,Wyoming,67,A,A,1.57,10,-0.5,0.44,4.03,5.37,7.67,0.7,-0.23,-0.97,0.4,-0.6,1.24,5.0064,8.5059,2.6138
115,1374,SMU,62,1461,Wyoming,54,A,B,3.67,6.11,-1.11,-3.68,0.51,1.82,5.53,2.13,2.92,3.49,3,0.79,2.18,6.222,7.3601,-11.3282
116,1424,UNLV,71,1461,Wyoming,67,A,A,3.47,11.53,0.24,2.01,-0.46,1.39,7.48,3.74,0.94,0.92,0.35,2.65,-1.47,6.2164,6.327,-4.2638
117,1429,Utah St.,57,1461,Wyoming,74,B,B,2.46,7.74,1.14,0.72,-1.95,-3.24,5.29,1.92,3.51,0.7,-1.11,-0.28,0.45,2.5529,6.7537,0.458
118,1429,Utah St.,65,1461,Wyoming,54,A,A,2.46,7.74,1.14,0.72,-1.95,-3.24,5.29,1.92,3.51,0.7,-1.11,-0.28,0.45,2.5529,6.7537,0.458
119,1361,San Diego St.,62,1461,Wyoming,68,B,B,1.75,9.19,-0.93,-1.96,1.15,3.47,7.8,0.4,-2.95,-0.43,2.95,1.17,-0.58,3.3366,7.0352,-13.8574
120,1201,Fresno St.,67,1461,Wyoming,62,A,A,2.23,10.19,2.14,5.75,0.47,0.5,4.09,0.24,-0.24,-0.75,1.73,0.07,2.32,5.211,8.9857,1.6177
121,1201,Fresno St.,66,1461,Wyoming,72,B,B,2.23,10.19,2.14,5.75,0.47,0.5,4.09,0.24,-0.24,-0.75,1.73,0.07,2.32,5.211,8.9857,1.6177
122,1363,San Jose St.,38,1461,Wyoming,46,B,A,-1.8,7.94,2.78,9.79,-2.51,-3.54,5.07,1.12,-1.4,3.18,-0.29,-1.11,3.46,4.7834,-8.0398,0.2708
123,1305,Nevada,61,1461,Wyoming,58,A,A,3.08,11.14,1.02,3.88,0.57,0.48,5.9,0.28,-1.46,0.21,0.5,0.7,1.65,4.8661,6.9548,1.6613
124,1305,Nevada,62,1461,Wyoming,64,B,B,3.08,11.14,1.02,3.88,0.57,0.48,5.9,0.28,-1.46,0.21,0.5,0.7,1.65,4.8661,6.9548,1.6613
125,1102,Air Force,64,1129,Boise St.,61,A,A,-3.77,-5.27,-0.36,1.12,-2.55,-1.69,-2.1,-0.05,1.76,3.58,-0.27,0.93,-0.58,-0.1882,-6.4285,-7.7523
126,1218,Hawaii,61,1129,Boise St.,62,B,A,1.47,1.6,-1.91,-3.76,2.26,3.96,1.95,-0.39,2.06,1.78,0.65,1.14,-0.09,3.2042,5.4139,-4.8017
127,1235,Iowa St.,70,1129,Boise St.,66,A,N,3.43,5,0.8,3.08,0.19,2.15,-0.6,5.67,6.92,0.67,0.47,0.91,-2.05,6.5601,11.3985,-15.5417
128,1370,Seattle,68,1129,Boise St.,86,B,B,-1.02,1.8,0.18,1.87,-2.7,-1.01,2.26,0.63,1.58,3.94,0.51,1.15,2.74,2.5497,-4.9162,-7.8415
129,1161,Colorado St.,72,1129,Boise St.,84,B,A,-2.47,-0.89,-2.33,-4.22,3.56,5.83,1.96,1.29,0.44,-0.65,-0.66,1.17,-1,-0.055,4.9629,-5.9603
130,1388,Saint Mary's,82,1129,Boise St.,74,A,B,-2.34,-4.81,-0.56,-2.31,1.88,4.09,0.97,-0.63,0.62,1.56,-0.09,1.28,-0.19,-1.916,6.3576,-11.1557
131,1424,UNLV,90,1129,Boise St.,91,B,B,-0.57,0.64,-1.59,-2.65,-0.93,1.85,1.77,4.33,1.61,1.24,-0.71,4.42,-3.71,1.155,2.784,-12.8379
132,1429,Utah St.,74,1129,Boise St.,78,B,B,-1.58,-3.15,-0.69,-3.94,-2.42,-2.78,-0.42,2.51,4.18,1.02,-2.17,1.49,-1.79,-2.5085,3.2107,-8.1161
133,1429,Utah St.,76,1129,Boise St.,70,A,A,-1.58,-3.15,-0.69,-3.94,-2.42,-2.78,-0.42,2.51,4.18,1.02,-2.17,1.49,-1.79,-2.5085,3.2107,-8.1161
