,round,teamA,TeamName_x,scoreA,teamB,TeamName_y,scoreB,winner,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,tempo_diff,oe_de_diff,de_oe_diff
10,Round of 32,1163.0,Connecticut,77,1437.0,Villanova,65,A,-1.370000000000001,-1.6799999999999997,-1.9099999999999993,-6.650000000000002,-2.0299999999999994,-4.25,-1.1899999999999995,-0.5199999999999996,-3.040000000000001,-0.16000000000000014,0.02999999999999936,2.1799999999999997,-1.4599999999999973,-1.5878000000000014,15.752899999999997,-22.963300000000004
11,Round of 64,1454.0,Milwaukee,53,1437.0,Villanova,73,B,-2.960000000000001,-2.969999999999999,-1.9099999999999993,-3.4200000000000017,-0.3000000000000007,-1.1000000000000014,-1.4900000000000002,-2.289999999999999,-2.3900000000000006,1.8000000000000007,-1.3000000000000007,-1.6100000000000003,-1.4199999999999982,0.08259999999999934,10.786000000000001,-10.935400000000001
12,Round of 32,1277.0,Michigan State,80,1217.0,Harvard,73,A,2.5700000000000003,4.68,2.2700000000000005,5.6899999999999995,-4.9300000000000015,-5.91,0.6799999999999997,2.2399999999999984,2.5199999999999996,-0.11000000000000121,-0.5099999999999998,-0.14999999999999947,0.9800000000000004,1.516999999999996,21.010500000000008,-14.6862
13,Round of 64,1153.0,Cincinnati,57,1217.0,Harvard,61,B,-0.9299999999999997,2.8800000000000026,0.03000000000000025,2.459999999999999,-2.8900000000000006,-3.4400000000000013,2.9799999999999986,-1.0600000000000023,-1.75,-0.46000000000000085,0.4900000000000002,0.5499999999999998,-0.4499999999999993,-0.8442999999999969,11.602199999999996,-19.7791
14,Round of 64,1277.0,Michigan State,93,1174.0,Delaware,78,A,0.3200000000000003,-2.940000000000005,0.8800000000000008,-0.1999999999999993,-5.119999999999999,-6.799999999999997,-0.05999999999999872,0.6499999999999986,6.119999999999999,1.8499999999999996,0.9400000000000004,1.2300000000000004,0.029999999999997584,-4.777600000000007,11.638500000000008,-14.392800000000008
15,Elite Eight,1276.0,Michigan,72,1246.0,Kentucky,75,B,0.4299999999999997,-1.9699999999999989,3.3900000000000006,5.9,-5.77,-10.7,-5.800000000000001,-3.5599999999999987,2.710000000000001,-2.8200000000000003,0.3600000000000003,-3.72,-4.449999999999999,-3.765900000000002,25.9606,-13.320000000000007
16,Sweet Sixteen,1257.0,Louisville,69,1246.0,Kentucky,74,B,3.7300000000000004,5.240000000000002,2.9700000000000006,6.0600000000000005,-4.23,-5.350000000000001,-0.9399999999999995,-2.3200000000000003,4.18,-1.9200000000000017,5.359999999999999,-1.62,0.5,2.323599999999999,21.058999999999997,-24.347300000000004
17,Round of 64,1243.0,Kansas State,49,1246.0,Kentucky,56,B,-0.8399999999999999,0.05000000000000426,0.9400000000000004,2.380000000000001,-5.469999999999999,-7.219999999999999,-2.24,-2.91,3.9700000000000006,0.09999999999999964,1.4300000000000006,-3.27,2.6900000000000013,-1.0986999999999938,11.696799999999996,-19.423000000000002
18,Sweet Sixteen,1276.0,Michigan,73,1397.0,Tennessee,71,A,1.1999999999999993,-1.3399999999999963,2.920000000000001,4.670000000000002,-1.4299999999999997,-3.4800000000000004,-4.870000000000001,-2.09,2.120000000000001,-1.4900000000000002,-0.07000000000000028,-2.1999999999999997,-2.6400000000000006,0.12439999999999429,28.2025,-11.894900000000007
19,First Four,1234.0,Iowa,65,1397.0,Tennessee,78,B,3.5599999999999987,5.030000000000001,0.28000000000000025,-0.3200000000000003,4.09,4.809999999999999,0.0,1.9100000000000001,4.100000000000001,0.5,2.0599999999999996,0.33999999999999986,0.7799999999999976,7.286599999999993,26.080600000000004,-10.98360000000001
20,Round of 64,1276.0,Michigan,57,1459.0,Wofford,40,A,1.8499999999999979,-0.25,2.7600000000000007,5.58,2.5299999999999994,0.990000000000002,-1.700000000000001,0.9700000000000024,2.0700000000000003,-0.8899999999999988,-0.9500000000000002,0.97,-3.0700000000000003,0.6038999999999959,19.495599999999996,0.6962999999999937
21,Elite Eight,1196.0,Florida,62,1173.0,Dayton,52,A,-1.2900000000000027,-2.3000000000000043,0.2699999999999996,1.2300000000000004,-0.3600000000000012,0.14999999999999858,0.03999999999999915,0.3299999999999983,0.28999999999999915,-0.6799999999999997,1.3899999999999997,0.2400000000000002,-3.849999999999998,-2.6559999999999917,14.355699999999999,-23.399500000000003
22,Sweet Sixteen,1390.0,Stanford,72,1173.0,Dayton,82,B,-0.40000000000000213,-0.6400000000000006,-0.6699999999999999,-1.450000000000001,1.5799999999999983,1.5399999999999991,-1.9700000000000006,1.509999999999998,-1.2700000000000014,-0.7599999999999998,-0.7300000000000004,1.6300000000000003,-2.0,1.373500000000007,11.083699999999993,-14.700199999999995
23,Round of 32,1393.0,Syracuse,53,1173.0,Dayton,55,B,-1.610000000000003,0.0,-1.58,-2.450000000000001,-0.45000000000000107,-1.3500000000000014,1.549999999999999,-1.610000000000003,-1.120000000000001,-3.09,2.209999999999999,2.3300000000000005,-4.149999999999999,-5.278299999999994,11.826800000000006,-19.2063
24,Round of 64,1326.0,Ohio State,59,1173.0,Dayton,60,B,-1.5800000000000018,-1.3800000000000026,-0.79,0.3999999999999986,0.33999999999999986,0.23999999999999844,-1.5500000000000007,0.3299999999999983,-1.0300000000000011,-0.8200000000000003,1.83,1.8900000000000001,-3.5599999999999987,-0.7001999999999953,5.737499999999997,-23.509199999999993
25,Sweet Sixteen,1196.0,Florida,79,1417.0,UCLA,68,A,-4.68,-6.530000000000001,0.46999999999999975,2.3000000000000007,-2.200000000000001,-0.240000000000002,1.5899999999999999,-1.5599999999999987,-3.860000000000001,0.7900000000000009,-2.170000000000001,-0.029999999999999805,-1.5299999999999976,-7.335700000000003,18.248400000000004,-26.792
26,Round of 64,1196.0,Florida,67,1107.0,Albany,55,A,1.9399999999999977,1.6699999999999946,1.9399999999999995,5.15,-1.1300000000000008,1.1600000000000001,1.3399999999999999,-0.21999999999999886,2.289999999999999,-1.3100000000000005,1.6799999999999997,-0.20999999999999996,-1.0399999999999991,-0.025500000000000966,12.383399999999995,-11.875700000000009
27,Elite Eight,1458.0,Wisconsin,64,1112.0,Arizona,63,A,-2.0299999999999976,-3.1199999999999974,2.4699999999999998,5.9399999999999995,2.0700000000000003,-0.020000000000003126,-3.8000000000000007,-1.8999999999999986,-2.9700000000000006,-2.379999999999999,-0.8799999999999999,-0.7200000000000002,-1.5000000000000018,-0.700800000000001,32.55709999999999,-14.4405
28,Round of 32,1211.0,Gonzaga,61,1112.0,Arizona,84,B,0.40000000000000213,-1.6700000000000017,1.5899999999999999,2.910000000000002,0.3800000000000008,-1.2900000000000027,-2.9499999999999993,-0.05000000000000071,-0.6099999999999994,0.8000000000000007,0.8200000000000003,-0.33000000000000007,1.6499999999999986,1.9821000000000026,24.586699999999993,-19.399199999999993
29,Round of 64,1458.0,Wisconsin,75,1110.0,America,35,A,1.1799999999999997,6.32,1.42,4.199999999999999,5.83,7.079999999999998,1.6599999999999993,1.4499999999999993,-3.0100000000000016,-5.91,-1.0300000000000002,0.08000000000000007,-2.2799999999999994,3.041099999999993,22.16149999999999,-4.429000000000002
30,Round of 32,1235.0,Iowa State,85,1314.0,North Carolina,83,A,1.5500000000000007,2.210000000000001,4.11,11.200000000000001,-0.6600000000000001,-3.6000000000000014,-3.8499999999999996,2.889999999999997,2.99,-1.4799999999999986,-1.2799999999999994,-1.8400000000000003,-2.889999999999997,1.9790000000000134,21.43289999999999,-13.195300000000003
31,Round of 64,1344.0,Providence,77,1314.0,North Carolina,79,B,-3.5700000000000003,-3.0900000000000034,2.0999999999999996,5.529999999999999,1.9299999999999997,-2.870000000000001,-1.620000000000001,-1.3100000000000023,-1.9100000000000001,-0.379999999999999,-1.7199999999999998,0.0699999999999994,-2.9899999999999984,-5.0700999999999965,19.77799999999999,-10.380600000000001
32,Round of 64,1235.0,Iowa State,93,1300.0,North Carolina Central,75,A,5.370000000000001,9.480000000000004,3.2700000000000005,8.220000000000002,-3.3599999999999994,-3.620000000000001,-1.2399999999999984,5.419999999999998,4.450000000000001,-0.8399999999999999,-1.6499999999999995,-0.8999999999999999,-2.6799999999999997,7.667000000000002,16.88449999999999,-9.641599999999997
33,Round of 32,1257.0,Louisville,66,1387.0,Saint Louis,51,A,4.620000000000001,6.380000000000003,2.3500000000000005,3.870000000000001,0.46999999999999886,2.4599999999999973,3.7700000000000014,-1.5599999999999987,1.58,-2.3200000000000003,2.7299999999999995,0.3899999999999997,2.210000000000001,1.7908999999999935,26.1378,-14.028999999999996
34,Round of 64,1301.0,NC State,80,1387.0,Saint Louis,83,B,1.9700000000000024,2.6099999999999994,-1.2400000000000002,-3.08,-1.9800000000000004,-1.3399999999999999,2.0,-3.3599999999999994,-1.1600000000000001,-2.1999999999999993,-2.63,-0.26000000000000023,1.4200000000000017,-2.5745000000000005,22.343000000000004,-1.2223999999999933
35,Round of 64,1257.0,Louisville,71,1264.0,Manhattan,64,A,3.75,5.219999999999999,1.6500000000000004,4.240000000000002,-4.420000000000002,-6.540000000000003,0.9600000000000009,-0.6600000000000001,2.49,-3.870000000000001,1.8399999999999999,-1.4699999999999998,-4.629999999999999,-1.2155000000000058,20.708399999999997,-15.418800000000005
36,Sweet Sixteen,1438.0,Virginia,59,1277.0,Michigan State,61,B,-4.200000000000003,-6.469999999999999,-2.5600000000000005,-5.5,0.9700000000000006,2.3299999999999983,-0.15000000000000036,-1.3500000000000014,-3.91,-1.2299999999999986,-1.62,-0.8500000000000001,-2.8200000000000003,-5.565899999999992,17.4563,-27.806600000000003
37,Round of 64,1438.0,Virginia,70,1157.0,Coastal Carolina,59,A,-1.610000000000003,-6.5,-0.23000000000000043,-2.8099999999999987,-1.1500000000000004,-0.7399999999999984,-1.7899999999999991,-1.4800000000000004,3.16,-3.889999999999999,-0.8799999999999999,1.1700000000000004,-3.870000000000001,-7.955199999999998,11.477800000000002,-7.852699999999999
38,Round of 32,1124.0,Baylor,85,1166.0,Creighton,55,A,-2.4800000000000004,0.6999999999999957,-2.9699999999999998,-5.370000000000001,2.1799999999999997,5.449999999999999,5.73,-1.8500000000000014,-3.210000000000001,1.8499999999999996,1.0,4.28,-0.08999999999999986,-1.5900000000000034,16.019800000000004,-23.666200000000003
39,Round of 64,1418.0,Louisiana Lafayette,66,1166.0,Creighton,76,B,-0.08999999999999986,4.649999999999999,-3.129999999999999,-5.289999999999999,3.629999999999999,7.93,5.200000000000001,-1.7199999999999989,-4.630000000000001,3.9299999999999997,2.91,2.55,3.5199999999999996,5.497,7.322100000000006,-20.0313
40,Round of 64,1124.0,Baylor,74,1304.0,Nebraska,60,A,2.5500000000000007,3.210000000000001,1.4499999999999993,1.7199999999999989,0.23000000000000043,1.879999999999999,5.369999999999999,-0.490000000000002,4.9399999999999995,0.8899999999999988,-1.7800000000000002,2.6999999999999997,-2.7399999999999984,-1.3823000000000008,22.538899999999998,-6.177500000000009
41,Sweet Sixteen,1112.0,Arizona,70,1361.0,San Diego State,64,A,2.6899999999999977,0.6099999999999994,0.5499999999999998,0.879999999999999,-1.2300000000000004,-1.5199999999999996,-0.3100000000000005,2.3900000000000006,5.74,0.6699999999999999,-1.5700000000000003,-0.7299999999999995,-0.2099999999999973,0.8527999999999949,22.191599999999994,-21.1152
42,Round of 32,1295.0,North Dakota State,44,1361.0,San Diego State,63,B,3.0199999999999996,-2.5700000000000003,0.2599999999999998,0.34999999999999964,0.08999999999999986,-2.830000000000002,-3.76,-1.009999999999998,2.1500000000000004,0.16000000000000014,-1.3100000000000005,-0.6799999999999997,1.6400000000000006,0.42029999999999035,23.751999999999995,-4.840000000000003
43,Round of 64,1308.0,New Mexico State,69,1361.0,San Diego State,73,B,2.2399999999999984,-2.3900000000000006,0.41000000000000014,0.2400000000000002,3.3900000000000006,4.16,-0.870000000000001,1.360000000000003,3.6500000000000004,2.880000000000001,-2.8,1.2400000000000002,0.5,3.2460999999999913,21.146900000000002,-5.342800000000011
44,Round of 64,1112.0,Arizona,68,1451.0,Weber State,59,A,2.9499999999999993,6.890000000000001,-1.92,-3.4700000000000006,-2.8200000000000003,-1.1899999999999977,4.379999999999999,1.1499999999999986,2.1999999999999993,-1.950000000000001,2.13,0.38000000000000034,-1.9499999999999993,0.5228999999999857,6.6839999999999975,-18.727999999999994
45,Round of 32,1242.0,Kansas,57,1390.0,Stanford,60,B,2.120000000000001,0.9099999999999966,-0.33000000000000007,0.20999999999999908,2.1799999999999997,2.789999999999999,2.119999999999999,1.1499999999999986,3.33,1.9399999999999995,0.7599999999999998,1.4299999999999997,3.030000000000001,1.649799999999999,19.905699999999996,-15.581999999999994
46,Round of 64,1307.0,New Mexico,53,1390.0,Stanford,58,B,-0.17999999999999972,0.10000000000000142,-0.0600000000000005,1.3899999999999988,1.5500000000000007,1.3399999999999999,0.9700000000000006,2.34,3.66,-0.6300000000000008,-0.2400000000000002,0.9100000000000001,-1.1199999999999974,-1.4487000000000023,14.055499999999995,-15.988900000000001
47,Round of 32,1397.0,Tennessee,83,1273.0,Mercer,63,A,-2.2399999999999984,-1.970000000000006,-2.7,-4.380000000000003,0.47999999999999865,1.490000000000002,2.75,-0.41999999999999815,-3.75,-1.3099999999999987,-1.0,0.5299999999999994,-1.9100000000000001,-3.044799999999995,11.918900000000008,-13.482200000000006
48,Round of 64,1397.0,Tennessee,86,1269.0,Massachusetts,67,A,-2.84,-4.060000000000002,0.11999999999999922,1.2199999999999989,-0.030000000000001137,-0.9100000000000001,1.5300000000000011,-1.3499999999999979,-3.0999999999999996,-2.6499999999999986,-1.6199999999999992,-0.8100000000000005,-2.4399999999999977,-8.761399999999995,16.728800000000007,-14.3189
49,Round of 32,1417.0,UCLA,77,1372.0,Stephen F Austin,60,A,2.8299999999999983,2.4499999999999957,-0.7800000000000002,-4.030000000000001,1.0899999999999999,0.3100000000000023,-2.91,4.949999999999999,0.7899999999999991,-0.4400000000000013,2.3500000000000005,-0.28000000000000025,-3.16,5.275400000000005,16.024900000000002,-14.107200000000006
50,Round of 64,1417.0,UCLA,76,1409.0,Tulsa,59,A,4.389999999999997,3.469999999999999,0.6200000000000001,-1.379999999999999,-0.6799999999999997,-3.5500000000000007,-0.6999999999999993,0.03999999999999915,4.690000000000001,-0.9199999999999999,2.410000000000001,-0.9100000000000001,-3.6800000000000033,1.6535000000000082,20.78099999999999,-7.786000000000001
51,Round of 32,1272.0,Memphis,60,1438.0,Virginia,78,B,4.970000000000002,8.060000000000002,-0.11000000000000032,0.9699999999999989,1.0700000000000003,1.9899999999999984,1.7699999999999996,0.060000000000002274,3.91,3.1799999999999997,3.33,0.7999999999999994,1.9700000000000024,10.083199999999998,20.9709,-16.18549999999999
52,Round of 64,1272.0,Memphis,71,1203.0,George Washington,66,A,2.59,4.149999999999999,-0.39000000000000057,0.3699999999999992,-1.3599999999999994,-2.0500000000000007,0.8699999999999992,-0.8499999999999979,2.84,0.33000000000000007,1.5900000000000007,0.6099999999999994,-0.05999999999999872,2.3640999999999934,13.578900000000004,-11.577699999999993
53,Round of 64,1338.0,Pittsburgh,77,1160.0,Colorado,48,A,1.3500000000000014,0.09000000000000341,-0.05999999999999961,-1.820000000000002,-1.0299999999999976,-1.240000000000002,0.5600000000000005,-2.0,4.09,-2.6500000000000004,0.9699999999999998,-0.3799999999999999,0.9100000000000001,-4.350800000000007,18.8502,-9.444699999999997
54,Round of 32,1400.0,Texas,65,1276.0,Michigan,79,B,0.17999999999999972,6.030000000000001,-3.3600000000000003,-5.760000000000002,2.7200000000000024,6.939999999999998,6.210000000000001,3.759999999999998,-1.450000000000001,2.969999999999999,0.6399999999999997,3.48,4.509999999999998,6.362400000000008,7.876100000000008,-25.936800000000005
55,Round of 64,1295.0,North Dakota State,80,1328.0,Oklahoma,75,A,-1.0599999999999987,-8.490000000000002,-3.5299999999999994,-8.239999999999998,-1.7699999999999996,-2.460000000000001,-2.74,-2.8900000000000006,-3.16,-1.5099999999999998,-0.7000000000000002,1.0100000000000002,-0.740000000000002,-7.869200000000006,14.424899999999994,-13.707300000000004
56,Round of 64,1393.0,Syracuse,77,1444.0,Western Michigan,53,A,0.34999999999999787,4.25,-0.8700000000000001,-2.869999999999999,-3.8400000000000016,-4.91,3.539999999999999,-2.8100000000000023,0.8399999999999999,-5.25,2.289999999999999,1.4600000000000004,-2.379999999999999,-6.162500000000001,10.917600000000007,-12.499899999999997
57,Round of 64,1332.0,Oregon,87,1140.0,BYU,68,A,-1.8599999999999994,-3.960000000000001,2.6000000000000005,5.959999999999999,-1.2300000000000004,-4.630000000000003,-2.5200000000000014,-4.289999999999999,-1.200000000000001,0.17999999999999972,0.8200000000000003,0.3500000000000001,1.6700000000000017,-3.5186999999999955,15.882199999999997,-13.158100000000005
58,Round of 64,1273.0,Mercer,78,1181.0,Duke,71,A,-0.030000000000001137,-0.46000000000000085,-0.5899999999999999,-1.2099999999999973,-0.7900000000000009,-1.3599999999999994,-1.0299999999999994,2.9800000000000004,1.3100000000000005,2.719999999999999,-0.8099999999999996,1.1300000000000003,-0.2799999999999976,0.575800000000001,6.110800000000012,-22.789600000000007
59,Round of 64,1329.0,Oklahoma State,77,1211.0,Gonzaga,85,B,-0.21999999999999886,2.520000000000003,0.27000000000000046,1.6600000000000001,4.659999999999998,6.030000000000001,-0.08999999999999986,-0.5399999999999991,-0.8399999999999999,-0.8200000000000003,0.8799999999999999,0.8799999999999999,1.5199999999999996,2.9331999999999994,20.2718,-15.473399999999998
60,Round of 64,1455.0,Wichita State,64,1142.0,Cal Poly,37,A,3.0,0.2600000000000051,0.5199999999999996,0.8300000000000018,6.440000000000001,7.809999999999999,1.1500000000000004,6.0,1.9900000000000002,1.4799999999999986,1.3199999999999994,2.45,-1.8900000000000006,3.8410999999999973,13.414200000000008,-10.5347
61,Round of 64,1372.0,Stephen F. Austin,77,1433.0,VCU,75,A,-0.00999999999999801,-5.839999999999996,-0.25,-0.9100000000000001,1.1400000000000006,0.4299999999999997,-1.1500000000000004,-3.129999999999999,3.3000000000000025,-1.2899999999999991,-4.1499999999999995,-1.0999999999999996,1.3399999999999999,-5.437399999999997,22.2457,-7.133600000000001
62,Round of 64,1113.0,Arizona State,85,1400.0,Texas,87,B,-0.509999999999998,-3.719999999999999,3.0100000000000007,5.240000000000002,-1.0800000000000018,-2.6799999999999997,-6.620000000000001,0.490000000000002,1.4299999999999997,-0.8899999999999988,-0.5999999999999996,-0.33999999999999986,0.22000000000000242,-0.40919999999999845,12.011400000000009,-13.510100000000008
63,First Four,1142.0,Cal Poly,81,1411.0,Texas Southern,69,A,-3.1099999999999994,-0.39000000000000057,0.020000000000000462,1.3099999999999987,-6.859999999999999,-9.04,-0.5499999999999989,-4.710000000000001,-2.290000000000001,-4.25,0.9400000000000004,-0.8599999999999999,2.240000000000002,-7.173199999999994,-8.9101,-1.8331000000000017
64,First Four,1107.0,Albany,71,1291.0,Mount St. Mary's,64,A,-3.219999999999999,-7.1299999999999955,-3.9700000000000006,-11.44,0.19000000000000128,0.029999999999997584,0.27999999999999936,2.09,-0.6899999999999995,0.6300000000000008,-1.63,0.0,-1.5,-7.0800999999999945,-8.808299999999988,-4.97829999999999
65,First Four,1462.0,Xavier,59,1301.0,NC State,74,B,-0.620000000000001,-2.8699999999999974,0.7400000000000002,-0.02999999999999936,1.9400000000000013,2.0,-0.7899999999999991,2.2900000000000027,1.9100000000000001,1.9499999999999993,1.0899999999999999,-1.0300000000000002,1.1999999999999993,0.9714000000000027,9.39179999999999,-13.990700000000004
