teamId,fgm,fga,fgm3,fga3,ftm,fta,or,dr,ast,to,stl,blk,pf
1142,21.73,53.83,6.33,18.90,12.20,17.77,10.73,20.73,11.37,8.97,5.53,2.67,18.80
1143,26.16,57.97,5.63,16.47,14.44,21.22,10.56,25.38,15.00,10.16,5.41,4.63,17.16
1144,23.64,54.61,8.75,24.93,10.21,14.96,10.54,21.43,13.57,13.11,5.54,4.14,18.18
1145,26.63,58.34,8.00,20.88,16.63,22.34,11.19,22.31,12.72,11.50,7.03,3.78,17.88
1146,25.85,59.00,6.48,17.67,13.48,22.52,10.67,22.00,12.00,14.96,7.70,4.70,21.74
1148,25.83,59.52,5.66,16.90,12.76,17.62,10.41,24.03,12.76,14.14,6.76,4.83,18.79
1149,26.04,59.74,9.22,24.93,15.04,20.81,11.07,24.85,12.56,11.22,6.15,2.44,18.70
1150,25.42,57.13,6.00,16.87,14.61,22.55,12.26,26.03,13.55,14.74,6.06,2.52,18.35
1151,24.03,56.90,6.31,19.38,18.38,25.72,12.72,23.55,11.07,13.24,6.34,4.83,18.97
1152,24.13,59.00,6.97,20.90,13.60,19.93,10.40,20.90,11.10,12.10,8.43,2.70,23.13
1153,23.76,55.64,5.82,17.36,15.39,21.73,13.36,22.70,12.73,11.09,7.94,5.52,17.45
1154,22.59,53.55,5.93,16.62,13.14,18.45,9.07,23.55,12.66,12.66,3.90,2.90,18.69
1155,21.91,52.41,5.16,17.00,14.38,19.50,11.59,24.06,10.13,11.03,4.81,5.91,15.91
1156,24.67,53.50,7.40,18.17,15.33,20.50,10.40,23.23,13.60,12.70,5.83,3.40,20.07
1157,24.67,57.47,5.73,17.90,15.47,22.33,12.70,26.13,9.93,14.10,6.20,2.80,19.93
1158,22.03,53.52,6.58,19.10,12.19,18.42,12.10,25.65,10.00,12.84,4.65,4.16,18.65
1159,25.20,52.07,8.37,20.87,10.53,14.63,6.97,23.47,13.90,11.53,4.57,2.23,17.17
1160,23.50,53.79,5.21,16.26,18.65,26.03,11.59,25.94,11.53,13.21,6.03,3.38,16.59
1161,23.37,56.20,5.17,16.37,19.40,26.77,12.77,24.20,12.07,9.23,4.90,3.20,18.47
1162,21.33,48.33,7.60,20.17,16.83,21.90,8.13,24.50,11.67,12.20,5.03,2.77,19.00
1163,24.38,54.38,7.12,18.38,15.97,21.00,10.09,25.29,12.59,11.68,6.97,6.21,18.26
1164,22.26,57.35,7.42,22.90,16.94,23.06,11.45,21.87,11.48,11.74,5.71,2.16,16.90
1165,23.04,56.67,6.89,21.93,10.67,16.00,10.30,20.85,10.44,12.04,4.19,2.70,20.74
1166,27.48,55.09,10.36,24.61,14.21,18.91,8.45,25.91,17.73,9.94,4.09,1.39,17.64
1167,23.52,54.39,6.81,17.61,14.48,21.06,11.81,22.61,11.74,13.94,6.45,3.52,22.19
1168,23.68,55.68,6.16,18.61,13.97,21.23,10.48,23.26,11.06,11.94,4.68,1.87,19.48
1169,25.09,55.73,4.27,11.73,21.48,27.18,10.94,24.42,13.18,12.88,6.73,2.58,20.58
1170,24.18,53.50,6.11,16.50,13.82,18.79,9.43,21.57,12.86,11.32,5.21,1.29,20.89
1171,23.27,53.62,6.19,16.27,13.19,19.46,10.69,21.62,11.92,12.00,5.62,2.81,20.12
1172,26.81,56.35,8.32,21.87,15.77,22.06,9.65,22.97,13.45,11.42,5.19,1.74,20.03
1173,25.67,55.06,6.58,17.39,15.48,22.73,11.64,23.67,13.06,12.00,5.82,2.61,20.06
1174,26.94,60.38,7.18,20.79,18.47,26.06,11.12,25.35,10.88,9.59,6.00,3.59,18.85
1175,20.64,49.89,4.89,15.50,13.39,19.29,9.39,20.75,11.50,11.96,5.00,3.57,18.04
1176,22.67,49.20,8.10,21.10,12.10,17.07,7.27,18.70,14.80,10.00,7.03,3.23,20.17
1177,23.70,56.00,5.91,17.58,16.09,23.52,12.30,21.61,10.88,13.45,6.70,4.21,21.61
1178,23.70,57.83,5.60,18.20,16.20,22.27,12.07,23.70,11.00,12.77,7.17,4.23,21.80
1179,22.70,51.03,7.73,19.47,13.93,19.50,8.43,23.83,12.33,12.17,5.27,2.13,18.50
1180,23.93,56.90,5.13,16.37,15.80,22.30,10.50,25.20,11.77,8.50,4.57,3.90,21.27
1181,26.68,57.59,8.85,22.47,16.44,22.65,12.00,22.47,14.53,9.47,7.00,3.06,19.38
1182,25.03,56.63,7.27,20.00,16.00,23.90,10.77,24.57,15.23,11.03,5.83,2.77,18.00
1183,23.04,53.00,5.00,15.64,15.86,22.14,10.18,22.32,11.89,13.57,5.50,4.46,19.50
1184,25.55,52.68,8.94,23.13,17.35,23.03,6.87,18.84,14.03,10.77,8.00,1.74,21.03
1185,21.44,54.22,4.94,16.69,16.09,23.66,11.63,23.94,10.28,11.97,8.13,5.94,18.81
1186,25.72,57.34,8.10,21.76,16.07,23.17,10.55,25.62,12.93,12.28,4.41,4.21,19.97
1187,23.03,53.14,8.66,23.17,16.07,22.17,9.83,22.48,12.83,12.03,6.10,2.86,17.97
1188,25.34,55.14,7.03,18.97,14.17,20.90,9.79,21.14,13.38,13.86,6.52,2.97,20.45
1189,24.97,55.14,7.69,21.17,14.03,19.72,8.90,24.21,13.17,11.86,4.79,2.76,18.28
1190,24.63,57.75,7.81,21.56,18.72,25.19,10.13,24.44,12.09,11.94,7.72,2.94,20.00
1191,23.06,50.55,4.26,12.06,17.74,24.84,8.35,23.65,14.16,12.84,5.10,3.74,18.90
1192,23.52,56.72,7.07,20.17,14.59,20.24,10.76,21.14,10.38,11.83,6.62,4.10,21.28
1193,21.78,54.78,6.88,20.63,13.00,18.97,11.13,24.31,11.25,14.66,4.41,3.66,22.94
1194,22.93,54.73,6.30,19.27,12.93,19.83,11.93,23.67,11.33,12.77,4.70,4.57,18.60
1195,26.09,56.25,5.47,17.16,14.22,20.66,10.09,26.38,12.44,13.03,5.72,3.50,17.97
1196,24.38,52.76,6.85,18.62,15.12,22.88,11.68,24.00,13.35,11.32,7.21,2.85,16.21
1197,24.50,62.40,6.43,19.90,13.80,21.17,14.83,23.90,10.67,14.67,7.20,4.13,24.27
1198,23.57,53.68,4.89,15.64,15.50,23.04,11.39,23.79,10.29,13.75,6.82,3.89,18.18
1199,24.31,52.31,5.16,13.97,16.63,23.00,10.88,23.84,10.94,13.97,5.97,5.38,18.09
1200,24.65,62.65,7.10,23.19,15.35,20.94,14.45,22.71,12.23,11.39,6.68,4.06,19.87
1201,24.03,56.39,7.81,21.68,15.84,21.90,9.19,23.74,12.06,9.45,6.23,3.87,19.55
1202,22.07,50.41,5.07,15.67,14.00,20.48,8.41,21.89,9.07,13.63,4.59,2.96,16.59
1203,25.44,54.88,5.78,15.69,16.75,25.63,11.81,25.56,14.16,13.06,7.06,4.16,18.09
1204,23.90,56.00,6.81,20.65,13.68,20.68,10.90,23.71,8.90,11.97,6.16,1.68,17.23
1205,24.87,57.50,5.03,15.47,16.47,23.67,12.20,22.87,14.20,12.40,7.50,3.03,18.90
1206,24.39,55.45,4.94,14.03,15.77,22.26,10.94,23.61,10.94,13.58,5.26,3.48,20.94
1207,24.16,52.58,5.29,16.19,16.61,23.19,10.13,23.45,13.13,11.87,5.90,4.32,21.84
1208,22.59,51.47,4.97,14.19,18.88,27.88,11.78,25.34,10.25,12.66,4.97,4.66,18.88
1209,26.45,56.29,7.52,19.74,17.23,22.23,7.94,23.16,13.29,8.03,7.87,4.71,17.35
1210,24.12,55.97,5.24,16.64,13.18,19.27,11.30,24.67,13.15,12.09,5.18,4.24,17.76
1211,26.64,54.33,6.88,17.76,15.67,22.06,9.64,26.24,14.48,11.24,6.70,3.91,18.09
1212,22.15,54.33,6.26,19.26,14.85,22.00,10.93,20.44,10.26,15.15,5.74,2.04,19.07
1213,21.77,51.65,6.88,20.00,20.04,26.96,9.42,25.19,12.31,12.65,3.69,2.88,20.35
1214,24.27,57.83,5.50,17.33,19.20,29.33,13.10,25.40,12.03,15.00,7.70,6.00,23.57
1216,22.15,48.27,8.03,21.33,13.18,18.76,6.97,20.58,12.18,13.88,5.58,2.06,19.15
1217,24.69,52.76,5.79,14.90,18.28,25.17,10.38,23.76,14.48,11.55,7.45,4.97,17.90
1218,27.31,58.69,5.59,16.83,18.10,24.90,12.76,22.52,13.69,11.66,6.21,3.17,19.38
1219,25.25,54.36,6.07,15.93,12.82,17.43,9.61,21.64,14.43,11.89,5.79,3.50,16.71
1220,22.73,54.18,6.94,20.76,16.09,24.42,12.70,23.52,10.76,12.30,4.82,3.21,19.58
1221,22.56,52.50,6.28,17.94,15.56,21.41,10.00,23.06,11.28,11.75,5.97,3.81,17.13
1222,25.24,55.55,6.42,17.52,14.15,21.21,10.88,23.70,14.73,12.76,5.42,5.52,18.27
1223,23.10,55.14,4.86,14.45,14.76,21.76,11.17,24.03,11.93,15.69,4.86,2.10,21.48
1224,18.97,51.13,5.13,15.58,17.19,25.23,11.48,21.68,7.61,16.32,6.19,3.71,21.97
1225,24.42,54.94,6.39,17.94,16.97,24.61,10.45,23.82,11.30,11.48,4.15,1.67,20.85
1226,23.44,53.04,5.56,15.59,17.11,24.07,11.89,22.63,11.56,12.30,6.70,2.59,18.22
1227,22.28,54.41,5.62,17.24,15.21,21.31,10.86,23.07,10.83,12.55,5.21,1.76,22.03
1228,22.82,55.73,6.03,18.91,12.97,17.76,11.03,22.94,10.12,10.48,6.15,3.73,17.03
1229,22.77,55.63,7.33,23.37,15.80,22.40,9.80,24.47,12.17,12.43,7.80,4.63,20.57
1230,26.60,57.53,6.93,18.67,16.67,23.73,10.87,24.60,14.13,13.07,6.67,3.60,19.47
1231,24.38,54.41,5.50,16.00,18.00,24.66,12.38,26.41,11.50,15.06,5.94,4.31,18.34
1232,23.45,52.45,6.42,18.65,16.61,22.97,8.74,24.42,12.55,11.42,5.74,3.58,19.10
1233,28.59,58.75,10.31,26.06,16.00,22.50,8.75,24.31,17.38,10.53,6.63,3.69,17.69
1234,27.97,60.19,5.84,16.56,20.22,27.59,13.72,26.94,16.19,11.38,7.25,5.06,17.97
1235,29.27,62.09,8.30,23.67,16.03,23.09,10.21,28.58,18.55,10.55,6.03,2.94,17.42
1236,25.42,53.26,7.61,19.77,14.97,22.42,10.13,23.39,13.42,12.87,6.61,2.26,17.13
1237,23.03,54.00,4.17,13.72,12.93,17.59,7.55,21.72,9.79,11.38,4.86,2.79,16.07
1238,22.94,55.06,3.90,13.32,16.06,22.19,11.84,23.39,9.55,14.94,5.94,3.23,22.84
1239,24.96,57.25,6.11,18.21,16.89,24.14,12.00,21.61,12.75,13.57,7.18,3.36,19.11
1240,21.79,53.00,5.55,17.59,14.69,21.93,10.97,19.17,11.59,11.07,6.45,3.48,19.38
1241,20.90,51.06,4.87,17.84,16.58,24.19,10.13,23.61,8.77,12.23,5.87,3.10,19.58
1242,27.39,55.33,5.58,16.15,19.24,27.06,11.79,26.33,15.12,13.18,5.85,5.67,21.09
1243,24.34,55.84,6.03,18.03,15.00,22.78,12.41,23.59,15.47,12.31,6.19,2.97,21.69
1244,22.31,53.52,5.86,17.24,13.34,20.48,10.90,21.76,10.72,16.31,5.48,2.86,21.90
1245,23.68,55.42,7.35,20.94,14.45,20.48,10.55,22.61,11.35,12.23,5.94,3.39,20.90
1246,25.18,55.79,5.09,15.65,20.47,30.00,14.65,26.50,11.50,12.21,4.76,6.24,19.00
1247,23.23,56.23,5.71,17.55,15.58,22.00,11.94,23.55,12.42,11.61,5.58,3.42,15.97
1248,25.13,53.67,7.33,18.47,13.50,17.87,8.43,21.47,12.80,12.50,5.17,2.10,17.80
1249,23.70,54.27,3.23,10.50,16.07,21.60,9.27,22.23,12.03,14.00,5.33,2.87,18.47
1250,23.69,54.88,6.22,17.34,12.69,17.94,8.75,24.59,13.00,11.97,4.97,3.50,17.88
1251,24.93,55.62,5.62,15.76,13.48,19.21,12.79,23.90,12.76,13.38,4.45,3.24,18.14
1252,24.03,55.76,9.17,25.83,18.21,26.69,9.38,23.14,13.69,12.52,6.79,1.86,22.14
1253,25.70,59.00,5.93,18.77,12.10,18.17,12.73,23.03,12.57,12.23,5.70,2.47,17.93
1254,24.38,57.00,7.52,21.76,15.45,21.55,11.21,23.31,14.07,12.79,4.31,2.28,17.55
1255,24.21,57.25,5.54,16.25,12.93,17.71,9.54,20.86,12.43,13.00,6.54,1.71,19.68
1256,27.55,60.97,7.67,23.24,17.52,26.18,12.76,26.30,15.76,11.48,9.06,4.82,18.94
1257,28.91,61.03,8.06,21.71,16.24,24.65,13.71,24.18,15.68,10.29,10.12,4.62,19.50
1258,25.77,59.39,4.45,14.94,16.42,21.61,11.77,21.45,12.06,12.10,7.00,3.65,20.23
1259,22.24,54.34,4.83,15.00,15.17,22.72,10.79,20.24,11.10,12.10,8.03,4.17,19.34
1260,22.97,50.03,5.97,17.06,13.32,19.00,8.19,21.97,12.87,13.26,5.42,2.52,19.77
1261,27.13,61.13,6.72,19.69,14.09,21.06,13.34,26.31,14.19,13.78,7.72,5.94,19.06
1262,20.15,51.41,6.63,20.63,14.00,19.93,9.48,21.63,11.59,13.52,5.93,2.59,18.78
1263,25.54,58.50,6.14,18.68,13.50,19.86,9.00,23.64,13.89,15.07,7.39,2.14,21.18
1264,25.16,55.81,6.41,17.47,20.66,31.19,12.75,24.84,13.19,14.16,8.28,6.09,24.13
1265,22.87,56.00,6.48,18.71,16.13,22.58,10.77,23.32,11.03,12.39,6.52,3.94,18.81
1266,25.00,56.25,4.81,15.00,17.38,25.19,11.84,24.63,14.81,11.97,6.31,3.13,19.72
1267,24.13,58.00,5.74,19.71,15.19,24.61,12.90,23.35,10.94,13.13,6.23,3.65,19.97
1268,24.75,57.63,7.06,20.63,14.38,21.16,12.00,25.50,11.69,12.75,6.31,4.34,19.81
1269,27.25,59.22,5.44,15.66,16.16,23.69,12.19,26.38,15.19,13.53,6.81,5.53,19.63
1270,23.17,60.00,6.62,21.93,13.86,20.14,13.07,22.86,11.90,12.59,6.97,3.83,17.83
1271,21.50,54.43,6.00,18.68,16.68,23.04,11.71,20.36,10.96,12.43,6.36,1.96,19.54
1272,28.03,59.03,5.39,16.06,15.39,23.58,12.68,24.71,17.00,13.39,8.65,4.77,18.03
1273,26.65,57.13,8.26,21.26,15.65,21.29,10.97,25.45,15.84,12.19,6.19,4.19,19.10
1274,21.58,51.21,5.64,17.45,12.70,18.48,10.97,23.58,10.48,10.15,4.88,3.76,15.82
1275,23.30,53.13,4.77,15.87,13.97,18.50,7.97,22.50,12.57,13.60,8.50,2.27,17.43
1276,25.61,53.82,8.48,21.55,14.70,19.30,8.85,22.94,14.21,9.39,5.12,2.52,14.55
1277,27.26,57.44,8.06,20.59,13.35,19.26,11.06,26.00,17.00,11.44,6.94,4.82,18.88
1278,24.31,54.28,7.06,19.97,15.19,20.69,10.66,23.72,13.72,11.94,7.31,4.16,19.28
1279,25.33,60.70,7.82,23.06,16.73,24.03,12.97,23.73,12.52,11.18,7.45,5.52,19.42
1280,23.79,53.82,4.67,15.21,15.45,23.30,9.85,23.06,12.15,13.91,7.73,2.67,17.27
1281,23.58,51.91,5.85,17.12,19.88,26.79,11.12,26.15,10.33,12.61,5.00,3.27,19.24
1282,24.48,56.69,5.66,18.55,14.66,23.17,9.38,23.03,11.76,13.00,7.00,2.34,20.69
1283,22.87,53.06,6.97,19.26,15.61,22.16,9.13,23.52,11.87,11.19,4.77,2.81,19.87
1284,24.25,57.69,5.53,16.47,14.97,23.41,12.91,24.09,12.06,14.44,6.94,3.00,21.81
1285,23.57,49.86,7.39,19.96,15.43,21.07,7.25,20.21,11.36,9.96,4.79,2.61,20.79
1286,22.45,52.59,5.59,16.55,14.72,20.66,8.66,21.93,9.72,11.79,6.31,1.55,18.21
1287,24.39,54.77,5.39,17.87,20.90,29.48,13.29,23.81,12.65,15.87,7.58,2.87,23.81
1288,25.81,60.29,4.52,17.29,15.32,25.03,14.39,24.00,12.71,13.00,6.32,5.06,20.90
1290,24.03,59.97,6.31,20.31,14.48,21.66,11.90,22.83,10.62,14.90,7.34,1.86,22.69
1291,25.66,58.22,8.88,24.91,16.06,21.69,10.06,22.13,11.75,12.00,7.16,3.06,18.75
1292,23.81,53.42,5.29,15.45,15.55,23.58,11.84,24.00,12.58,12.61,7.10,4.74,20.16
1293,25.70,54.85,7.37,19.56,17.48,26.78,11.70,23.70,12.81,12.74,5.33,3.89,19.22
1294,26.24,54.17,5.76,15.28,14.14,20.21,10.66,20.52,11.59,11.10,5.69,2.00,19.31
1295,26.57,52.82,5.00,14.32,16.61,22.04,9.14,22.89,11.50,9.93,6.14,4.29,18.29
1296,19.48,50.65,4.23,15.32,17.48,25.61,12.84,23.68,8.13,14.84,6.52,3.32,20.39
1297,23.47,53.93,7.60,21.80,13.60,19.27,9.53,21.80,11.13,11.60,5.43,2.97,20.77
1298,21.38,53.90,6.66,20.21,9.97,15.83,10.76,21.97,12.24,12.69,6.45,3.21,19.03
1299,19.19,51.10,5.26,17.81,20.81,29.94,12.26,23.94,9.06,15.03,4.55,3.97,23.32
1300,23.90,52.61,5.03,15.45,19.39,26.71,11.45,23.16,14.10,11.39,7.68,3.84,20.10
1301,26.26,57.26,4.47,14.76,13.79,20.85,11.94,22.38,12.94,10.41,4.76,3.97,18.71
1303,26.70,60.81,7.00,20.48,18.59,24.15,10.41,23.41,14.74,12.63,7.67,2.44,19.33
1304,22.45,52.58,5.94,17.52,16.16,22.48,8.81,24.55,9.58,10.90,6.87,2.97,20.29
1305,24.88,57.34,6.69,19.81,15.94,21.88,11.00,23.78,10.84,10.41,5.00,4.50,18.88
1306,19.00,51.48,7.03,21.38,11.55,16.62,9.55,24.03,9.55,12.97,4.00,3.17,19.34
1307,25.09,54.52,5.85,17.33,18.61,25.61,10.64,27.52,15.45,10.61,4.85,5.15,16.94
1308,25.79,53.00,5.15,14.21,19.91,29.03,12.03,25.26,13.00,12.65,4.65,6.21,17.15
1309,22.67,53.96,5.04,15.33,19.46,27.96,12.42,23.17,11.25,16.88,6.04,2.92,21.25
1310,25.33,59.06,5.03,16.79,19.58,28.70,12.39,21.91,10.00,13.64,6.97,2.15,23.76
1311,23.96,54.32,6.14,20.18,13.75,21.46,9.75,21.46,13.07,12.29,5.68,2.82,23.89
1312,23.12,55.36,7.00,19.60,15.44,21.48,9.16,23.52,12.08,12.88,6.28,3.00,21.00
1313,24.47,54.17,5.37,15.67,14.43,20.97,12.27,22.13,13.10,13.13,6.23,3.77,19.53
1314,27.72,59.88,4.19,12.47,16.69,26.69,14.06,25.69,15.56,12.03,7.31,4.78,20.31
1315,25.39,56.32,5.68,17.84,16.55,23.97,10.90,19.87,11.94,11.23,8.03,2.55,20.35
1316,23.97,55.50,6.93,19.57,15.77,22.50,12.10,24.40,11.93,15.10,5.03,3.73,18.77
1317,23.97,57.07,5.13,15.00,16.10,23.57,10.87,25.20,10.10,12.70,6.50,3.57,20.03
1318,22.94,52.88,4.88,15.03,15.16,23.50,11.28,23.63,11.59,13.13,5.41,3.44,17.28
1319,24.06,53.48,5.26,15.03,13.10,18.35,10.61,22.03,10.48,12.58,6.13,3.97,17.77
1320,24.37,54.33,8.50,23.67,15.10,20.90,8.63,23.90,13.90,10.63,5.57,2.93,18.17
1321,20.15,50.88,6.58,21.45,12.64,18.06,7.55,25.00,11.03,10.91,4.30,3.64,18.45
1322,30.31,64.79,5.83,17.14,19.00,25.76,12.48,25.00,16.52,13.21,8.10,5.00,20.59
1323,26.22,57.56,7.13,19.91,12.41,17.28,10.75,23.03,15.13,10.34,5.84,3.03,16.19
1324,24.68,57.65,8.52,23.29,15.74,21.74,9.03,21.84,15.58,11.23,6.94,1.71,20.10
1325,25.15,55.18,7.39,21.21,13.58,19.00,9.64,25.24,14.70,12.91,6.48,4.24,19.61
1326,24.09,53.68,5.79,17.79,15.82,22.97,10.09,24.00,12.03,11.18,7.65,4.50,16.50
1328,27.63,61.31,8.53,22.56,18.38,24.50,11.88,25.78,14.66,11.44,6.84,3.28,19.03
1329,26.42,56.85,7.15,19.42,20.33,28.09,9.55,25.70,13.64,10.42,7.58,4.79,19.61
1330,22.61,53.03,5.15,15.82,13.06,21.27,11.76,23.67,10.27,13.39,6.12,4.09,19.70
1331,25.10,54.48,4.74,13.26,16.48,22.84,10.81,24.03,12.00,11.19,5.19,4.39,19.74
1332,27.41,58.56,7.78,19.84,19.25,25.13,10.78,23.50,14.44,11.66,7.94,3.38,21.25
1333,25.45,52.52,5.52,14.03,18.84,27.06,9.81,24.68,13.39,13.58,4.87,4.71,19.03
1334,24.00,54.97,6.52,17.90,17.62,22.79,10.86,23.45,12.07,12.17,5.00,1.83,23.00
1335,24.43,54.21,5.00,15.57,14.39,21.21,9.57,23.96,14.57,16.11,5.82,3.43,22.61
1336,24.56,56.75,6.22,19.53,16.16,21.63,10.34,24.63,11.53,10.53,4.50,4.66,20.91
1337,24.73,54.73,6.43,17.77,14.93,21.33,10.20,24.30,13.60,12.10,4.60,4.20,19.00
1338,24.85,53.88,5.15,14.44,17.62,24.79,12.15,23.94,15.62,10.56,7.00,3.00,17.50
1339,26.13,57.35,6.16,15.65,16.65,22.65,10.94,25.06,15.23,11.81,5.94,4.13,20.00
1340,24.86,53.90,6.31,17.41,15.62,21.34,8.62,20.97,12.79,11.52,5.76,2.00,19.48
1341,23.52,57.21,6.52,19.24,15.00,23.21,11.85,22.30,10.48,14.39,7.09,2.61,21.91
1342,23.57,52.77,5.70,16.43,11.00,16.13,7.07,22.50,11.13,12.70,4.33,2.73,15.47
1343,23.52,52.44,9.15,25.26,15.00,20.74,8.26,24.15,14.22,11.15,6.19,3.44,17.37
1344,24.15,56.79,6.29,18.00,18.62,23.82,12.44,24.38,13.65,11.65,5.59,4.85,17.32
1345,25.69,60.19,5.50,16.81,15.38,22.91,13.91,25.34,13.09,12.28,5.59,5.25,20.69
1346,26.16,61.58,5.39,15.26,21.42,29.97,16.84,28.65,12.77,12.52,3.52,4.61,19.61
1347,26.80,57.60,5.90,17.00,16.43,23.57,11.13,23.17,12.13,10.97,6.53,3.63,19.37
1348,23.55,53.13,4.65,14.74,16.10,24.61,11.06,24.74,11.94,14.03,5.00,5.23,20.32
1349,21.36,52.39,7.79,24.04,10.75,16.71,7.39,23.96,13.93,12.89,4.46,1.89,19.18
1350,22.73,53.85,6.33,19.67,14.76,22.06,9.21,23.33,10.58,10.64,5.85,4.30,19.27
1351,23.97,54.97,7.65,19.26,18.35,25.10,10.87,22.65,12.16,13.19,6.06,2.87,20.10
1352,24.62,56.21,7.24,18.88,15.09,20.76,10.76,22.38,12.29,11.32,7.12,1.79,18.41
1353,24.44,58.22,5.88,17.84,14.97,21.28,12.03,22.88,12.34,12.56,5.78,4.38,20.53
1354,22.29,56.89,4.89,17.50,12.54,19.11,13.50,23.07,11.93,15.18,5.39,3.14,19.54
1355,23.43,53.64,6.36,18.96,18.36,23.93,9.96,24.82,12.86,11.86,5.32,2.89,17.79
1356,23.31,51.78,4.53,13.75,14.84,21.97,11.03,22.09,9.91,11.97,7.25,2.13,18.91
1357,24.45,59.23,6.35,19.45,14.48,21.13,12.23,22.29,12.52,12.19,5.35,2.10,19.94
1358,24.16,53.29,6.71,17.71,18.84,28.19,11.77,21.90,14.71,12.81,6.58,3.19,22.06
1359,25.43,53.73,4.83,14.83,14.07,20.90,8.73,22.47,13.40,12.83,5.67,2.90,21.40
1360,22.30,50.70,6.57,17.27,14.57,21.03,9.17,22.77,10.87,11.83,5.43,3.77,18.83
1361,23.55,55.39,4.74,13.97,16.52,24.87,12.90,23.90,9.35,9.77,7.45,4.97,16.65
1362,25.70,54.33,6.73,18.20,15.70,24.47,11.07,24.37,14.47,11.67,5.07,2.50,19.40
